mask_image,intensity_image,label,MAJOR_AXIS_LENGTH,MINOR_AXIS_LENGTH,ECCENTRICITY,ELONGATION,ORIENTATION,ROUNDNESS
"p0_y1_r1_c0.ome.tif","p0_y1_r1_c0.ome.tif",1,534.5367475795,14.1953733459,nan,0.16296135465,2.0279954930,0.0
"p0_y1_r1_c0.ome.tif","p0_y1_r1_c0.ome.tif",2,937.4480782985,10.3474386581,nan,0.10506131169,0.9431503512,0.0
"p0_y1_r1_c0.ome.tif","p0_y1_r1_c0.ome.tif",3,400.3738544141,19.0833154364,nan,0.21832027011,4.2069652424,0.0
"p0_y1_r1_c0.ome.tif","p0_y1_r1_c0.ome.tif",4,36.7511677313,3.5404047914,nan,0.31037797009,85.7411737763,0.0
"p0_y1_r1_c0.ome.tif","p0_y1_r1_c0.ome.tif",5,116.2106315700,19.8485155356,nan,0.4132768561,17.8095589212,0.0
"p0_y1_r1_c0.ome.tif","p0_y1_r1_c0.ome.tif",6,990.4835220096,23.6196647380,nan,0.15442344506,2.2524490315,0.0
"p0_y1_r1_c0.ome.tif","p0_y1_r1_c0.ome.tif",7,194.8884832299,26.9238147881,nan,0.3716851495,15.3790157982,0.0
"p0_y1_r1_c0.ome.tif","p0_y1_r1_c0.ome.tif",8,832.4268034172,18.3179945781,nan,0.14834261661,3.4660444197,0.0
"p0_y1_r1_c0.ome.tif","p0_y1_r1_c0.ome.tif",9,242.6311814056,4.9775974517,nan,0.14323085331,15.2985294658,0.0
"p0_y1_r1_c0.ome.tif","p0_y1_r1_c0.ome.tif",10,494.1668922030,23.9454375085,nan,0.22012763389,9.2519304255,0.0
"p0_y1_r1_c0.ome.tif","p0_y1_r1_c0.ome.tif",11,779.3009186119,18.7722997602,nan,0.15520515654,7.2306363900,0.0
"p0_y1_r1_c0.ome.tif","p0_y1_r1_c0.ome.tif",12,541.7642172789,21.4511920691,nan,0.19898509977,11.8624339151,0.0
"p0_y1_r1_c0.ome.tif","p0_y1_r1_c0.ome.tif",13,142.6242034083,15.9723660231,nan,0.3346478284,61.0497454713,0.0
"p0_y1_r1_c0.ome.tif","p0_y1_r1_c0.ome.tif",14,720.1702989608,31.3234283140,nan,0.20855328806,9.2087269046,0.0
"p0_y1_r1_c0.ome.tif","p0_y1_r1_c0.ome.tif",15,995.4561091613,17.9582929300,nan,0.13431405708,7.1762839526,0.0
"p0_y1_r1_c0.ome.tif","p0_y1_r1_c0.ome.tif",16,469.0833157008,14.2313913086,nan,0.17418016073,18.1941869507,0.0
"p0_y1_r1_c0.ome.tif","p0_y1_r1_c0.ome.tif",17,169.3693708945,5.2947351980,nan,0.17680912922,87.8850917303,0.0
"p0_y1_r1_c0.ome.tif","p0_y1_r1_c0.ome.tif",18,982.1616851504,18.9544669728,nan,0.13891984625,10.7205419212,0.0
"p0_y1_r1_c0.ome.tif","p0_y1_r1_c0.ome.tif",19,771.1877998708,30.4996035278,nan,0.19886896877,14.7447024928,0.0
"p0_y1_r1_c0.ome.tif","p0_y1_r1_c0.ome.tif",20,856.4188097099,16.0127039798,nan,0.13673800489,13.1100101426,0.0
"p0_y1_r1_c0.ome.tif","p0_y1_r1_c0.ome.tif",21,334.4549006355,25.8720324646,nan,0.27812913929,38.4543805411,0.0
"p0_y1_r1_c0.ome.tif","p0_y1_r1_c0.ome.tif",22,523.6445155046,35.8527291441,nan,0.26166330977,24.5117852374,0.0
"p0_y1_r1_c0.ome.tif","p0_y1_r1_c0.ome.tif",23,642.3924672161,35.7373702096,nan,0.23586368298,20.4287194336,0.0
"p0_y1_r1_c0.ome.tif","p0_y1_r1_c0.ome.tif",24,808.9511004244,21.9923919900,nan,0.16488270314,17.1054944985,0.0
"p0_y1_r1_c0.ome.tif","p0_y1_r1_c0.ome.tif",25,878.4770931391,25.1020141734,nan,0.16903983670,16.6014039042,0.0
"p0_y1_r1_c0.ome.tif","p0_y1_r1_c0.ome.tif",26,415.4506043169,18.8547064179,nan,0.21303462191,40.3746412860,0.0
"p0_y1_r1_c0.ome.tif","p0_y1_r1_c0.ome.tif",27,722.0241868899,24.8231972512,nan,0.18541846699,21.9601753235,0.0
"p0_y1_r1_c0.ome.tif","p0_y1_r1_c0.ome.tif",28,664.4765183549,8.9083708208,nan,0.11578687272,24.8843276112,0.0
"p0_y1_r1_c0.ome.tif","p0_y1_r1_c0.ome.tif",29,1009.7622567176,15.7547491096,nan,0.12490970395,16.4477427390,0.0
"p0_y1_r1_c0.ome.tif","p0_y1_r1_c0.ome.tif",30,533.5021290277,21.4371732505,nan,0.20045444014,32.5376820767,0.0
"p0_y1_r1_c0.ome.tif","p0_y1_r1_c0.ome.tif",31,951.0312655499,22.0315339128,nan,0.15220361596,18.1524850184,0.0
"p0_y1_r1_c0.ome.tif","p0_y1_r1_c0.ome.tif",32,622.1423906399,20.6703274186,nan,0.18227570267,32.2279483843,0.0
"p0_y1_r1_c0.ome.tif","p0_y1_r1_c0.ome.tif",33,355.8932783867,13.1502993874,nan,0.19222414032,86.9323564250,0.0
"p0_y1_r1_c0.ome.tif","p0_y1_r1_c0.ome.tif",34,546.6473869526,34.4190870526,nan,0.25092621467,42.4429959076,0.0
"p0_y1_r1_c0.ome.tif","p0_y1_r1_c0.ome.tif",35,437.3642417561,8.0642949888,nan,0.13578805462,78.3361878811,0.0
"p0_y1_r1_c0.ome.tif","p0_y1_r1_c0.ome.tif",36,573.2459764104,50.3252462839,nan,0.29629372019,49.2749345070,0.0
"p0_y1_r1_c0.ome.tif","p0_y1_r1_c0.ome.tif",37,500.7897885515,24.6329183201,nan,0.22178399442,70.0147594076,0.0
"p0_y1_r1_c0.ome.tif","p0_y1_r1_c0.ome.tif",38,637.5679615997,16.9626655546,nan,0.16311120911,52.1016933440,0.0
"p0_y1_r1_c0.ome.tif","p0_y1_r1_c0.ome.tif",39,715.6723102288,16.6043902428,nan,0.15231909780,46.2929221152,0.0
"p0_y1_r1_c0.ome.tif","p0_y1_r1_c0.ome.tif",40,615.0271893791,24.0646891869,nan,0.19780759858,59.1433124024,0.0
"p0_y1_r1_c0.ome.tif","p0_y1_r1_c0.ome.tif",41,678.3517760798,48.6217204431,nan,0.26772422976,60.6780063270,0.0
"p0_y1_r1_c0.ome.tif","p0_y1_r1_c0.ome.tif",42,741.6078582564,26.1624647665,nan,0.18782446770,56.1859261833,0.0
"p0_y1_r1_c0.ome.tif","p0_y1_r1_c0.ome.tif",43,740.3306472386,24.7875654460,nan,0.18298018944,63.6456977444,0.0
"p0_y1_r1_c0.ome.tif","p0_y1_r1_c0.ome.tif",44,816.5503558358,22.0909288651,nan,0.16448091088,55.2468538170,0.0
"p0_y1_r1_c0.ome.tif","p0_y1_r1_c0.ome.tif",45,690.8410873231,10.9626350765,nan,0.12597036835,79.3519135327,0.0
"p0_y1_r1_c0.ome.tif","p0_y1_r1_c0.ome.tif",46,799.6991057433,23.1309143365,nan,0.17007210809,61.3347339984,0.0
"p0_y1_r1_c0.ome.tif","p0_y1_r1_c0.ome.tif",47,874.4420327074,20.4156337443,nan,0.15279738453,53.2669980178,0.0
"p0_y1_r1_c0.ome.tif","p0_y1_r1_c0.ome.tif",48,842.4260116271,46.9365995318,nan,0.23604234863,63.9888577608,0.0
"p0_y1_r1_c0.ome.tif","p0_y1_r1_c0.ome.tif",49,901.9598493490,27.2858378541,nan,0.17393021921,59.1675568626,0.0
"p0_y1_r1_c0.ome.tif","p0_y1_r1_c0.ome.tif",50,787.7070377086,10.5560028377,nan,0.11576236382,83.2715196336,0.0
"p0_y1_r1_c0.ome.tif","p0_y1_r1_c0.ome.tif",51,975.7302494912,50.0616306542,nan,0.22651012060,56.0797863800,0.0
"p0_y1_r1_c0.ome.tif","p0_y1_r1_c0.ome.tif",52,905.2784791194,27.7614477159,nan,0.17511766469,65.9398234365,0.0
"p0_y1_r1_c0.ome.tif","p0_y1_r1_c0.ome.tif",53,848.0919500743,18.2048556195,nan,0.14651164650,78.2512169525,0.0
"p0_y1_r1_c0.ome.tif","p0_y1_r1_c0.ome.tif",54,1178.3953144605,32.7810477933,nan,0.16678842668,47.3893445281,0.0
"p0_y1_r1_c0.ome.tif","p0_y1_r1_c0.ome.tif",55,964.2099431370,40.8068500539,nan,0.20572199783,64.2714676949,0.0
"p0_y1_r1_c0.ome.tif","p0_y1_r1_c0.ome.tif",56,1309.8618806934,21.8289348197,nan,0.12909324575,43.5232810163,0.0
"p0_y1_r1_c0.ome.tif","p0_y1_r1_c0.ome.tif",57,1099.6414721272,47.0093809871,nan,0.20676008925,58.8843666720,0.0
"p0_y1_r1_c0.ome.tif","p0_y1_r1_c0.ome.tif",58,1275.0887882758,8.8711304754,nan,0.08341022062,47.0974220906,0.0
"p0_y1_r1_c0.ome.tif","p0_y1_r1_c0.ome.tif",59,1229.0043468670,24.9809670617,nan,0.14256992262,49.9805789422,0.0
"p0_y1_r1_c0.ome.tif","p0_y1_r1_c0.ome.tif",60,1055.5589224116,40.8564494353,nan,0.19673837077,63.9288289632,0.0
"p0_y1_r1_c0.ome.tif","p0_y1_r1_c0.ome.tif",61,1390.1522847892,19.7239791085,nan,0.11911489658,45.5328714970,0.0
"p0_y1_r1_c0.ome.tif","p0_y1_r1_c0.ome.tif",62,1218.5742431479,23.0680725326,nan,0.13758771465,54.8941611000,0.0
"p0_y1_r1_c0.ome.tif","p0_y1_r1_c0.ome.tif",63,1147.1285561172,14.4768356653,nan,0.11233905771,62.1714145505,0.0
"p0_y1_r1_c0.ome.tif","p0_y1_r1_c0.ome.tif",64,1173.5438650165,14.7200558331,nan,0.11199665839,59.2612084930,0.0
"p0_y1_r1_c0.ome.tif","p0_y1_r1_c0.ome.tif",65,1266.1175323601,7.5192538163,nan,0.07706378952,53.4042679597,0.0
"p0_y1_r1_c0.ome.tif","p0_y1_r1_c0.ome.tif",66,1316.6001051057,11.4214250413,nan,0.09313935031,49.8306221190,0.0
